X,Y,Z,Speed_kmh
1355.1605,-1390.5450,13.4293,86.6
1355.3523,-1380.2520,13.5051,87.3
1355.5476,-1369.9716,13.4239,88.9
1355.7465,-1359.6212,13.3707,93.0
1355.9479,-1349.1271,13.3739,99.1
1356.1488,-1338.6039,13.3744,93.3
1356.3406,-1328.5684,13.3745,93.0
1356.4053,-1317.6548,13.3744,86.9
1356.3344,-1307.3550,13.3206,95.2
1356.3105,-1296.3463,13.2416,94.4
1356.6691,-1285.9656,13.2546,94.7
1357.0634,-1275.4442,13.3552,90.4
1357.3739,-1265.1174,13.3782,92.8
1357.7081,-1254.8323,13.3744,92.8
1358.0762,-1244.5110,13.3767,94.0
1358.2260,-1234.0631,13.3805,93.3
1358.2472,-1223.5986,14.3125,89.5
1358.2656,-1213.8186,16.1966,93.6
1358.2938,-1204.1984,17.9799,83.2
1358.3239,-1194.8687,19.7267,82.4
1358.3672,-1185.4696,21.4345,83.6
1358.3950,-1176.3910,23.0703,75.9
1358.4152,-1167.3153,24.1529,79.9
1358.4373,-1150.8925,23.6331,70.6
1358.4507,-1142.1194,23.6477,73.5
1358.5879,-1133.2217,23.6481,72.1
1359.1635,-1124.2267,23.6725,76.7
1359.8219,-1115.1835,23.7112,80.3
1360.8109,-1106.0717,23.8128,82.5
1361.8743,-1096.8937,23.9676,85.7
1362.9052,-1087.7070,24.4260,84.7
1363.9716,-1078.0403,25.1299,80.0
1364.9780,-1068.9249,26.0044,77.7
1366.0038,-1059.7769,26.6419,78.9
1367.0204,-1050.6648,26.5851,76.7
1367.7111,-1041.4240,26.2104,79.3
1368.2925,-1032.0006,26.1427,84.3
1369.0712,-1022.7784,26.5762,79.6
1369.9497,-1014.0444,26.6907,77.4
1371.1315,-1005.6865,27.3536,73.7
1372.3348,-997.7526,28.4037,69.9
1374.4230,-983.8208,30.8548,62.4
1376.1563,-972.1543,32.9950,53.4
1376.6670,-962.8505,33.9291,41.4
1374.1676,-955.0944,34.1618,34.2
1368.8448,-947.9583,34.1800,38.5
1360.4403,-942.3193,34.1794,44.2
1350.0266,-937.9007,34.5715,48.2
1338.2107,-934.6459,35.6496,53.0
