X,Y,Z,Speed_kmh
2090.9988,-2090.2947,13.5311,0.0
2097.9099,-2085.0122,13.5361,23.9
2105.7102,-2090.4844,13.5351,31.9
2107.1233,-2099.9392,13.5381,41.7
2101.4636,-2108.6270,13.2935,39.5
2090.8203,-2109.4180,13.3307,49.1
2081.8359,-2109.3948,13.3532,57.6
2072.2041,-2109.3474,13.3713,55.6
2062.1375,-2109.2986,13.3763,64.1
2050.6665,-2109.3721,13.3626,71.9
2037.9209,-2109.6252,13.3685,76.6
2024.3746,-2109.4744,13.3874,81.2
2010.9930,-2109.3040,13.4000,78.6
1997.0033,-2109.1252,13.3710,81.2
1983.9417,-2108.9353,13.3517,73.4
1972.5226,-2110.8611,13.3641,62.9
1964.2997,-2117.1873,13.3730,58.4
1958.3938,-2125.5007,13.3754,64.3
1952.9714,-2135.0083,13.5307,66.3
1946.5073,-2144.9004,13.5484,69.8
1937.8508,-2153.0344,13.5430,72.2
1927.2142,-2158.9626,13.5375,72.4
1914.5846,-2162.8533,13.4265,76.7
1901.6769,-2165.3257,13.3745,80.0
1887.7190,-2166.1082,13.3747,84.4
1873.0913,-2166.2195,13.3749,86.7
1858.0625,-2166.3428,13.3750,90.4
1842.5575,-2166.4663,13.3743,90.8
1826.9985,-2166.5898,13.3748,93.9
1811.2660,-2166.3706,13.3737,93.3
1795.6876,-2165.8057,13.3730,90.7
1780.0421,-2165.4209,13.3747,93.7
1764.3740,-2165.5635,13.3739,93.2
1748.3564,-2165.6421,13.3748,96.2
1740.1577,-2165.6162,13.4392,94.2
1724.1814,-2165.5720,13.9882,95.5
1716.0580,-2165.5493,14.5006,95.6
1700.0018,-2165.5046,15.7353,95.3
1691.9370,-2164.9707,16.5564,94.5
1676.3823,-2163.4673,18.2132,92.5
1661.1478,-2163.5237,19.9660,90.3
1646.3596,-2162.1511,21.8578,87.7
1632.2010,-2158.4954,23.8040,86.3
1619.1954,-2152.8320,25.7222,84.6
1606.9686,-2145.8469,27.6131,83.4
1595.4327,-2137.7607,29.3729,82.5
1584.3912,-2128.4275,31.0007,82.5
1574.5168,-2118.8799,32.3434,82.7
1565.3435,-2107.7869,33.3422,84.5
1556.4542,-2096.1121,33.8613,87.1
1548.4458,-2083.1018,33.9001,91.2
1541.5714,-2068.7771,33.3739,95.8
1538.3258,-2061.3242,32.7807,98.1
1536.0483,-2052.8674,32.1568,100.3
1534.5535,-2044.7059,31.3199,98.3
1533.2404,-2035.8787,30.4027,102.0
1531.9698,-2027.2578,29.3750,105.7
1531.0625,-2018.5779,28.2849,104.1
1530.7709,-2009.9786,27.1629,102.6
1530.5291,-2001.2207,25.8978,101.4
1530.2731,-1992.8105,24.6935,102.6
1529.9974,-1984.0146,23.4358,104.2
1529.7324,-1974.6685,22.3081,104.5
1529.5341,-1966.0549,21.3303,102.6
1529.3376,-1957.4668,20.2610,100.9
1529.2273,-1949.0580,19.1104,99.5
1529.6675,-1933.7412,17.0994,87.5
1530.0461,-1921.0393,15.4783,85.3
1530.4143,-1908.3518,14.3884,73.8
1530.6056,-1895.9091,13.8994,71.4
1528.5143,-1884.6552,13.4593,65.5
1523.2673,-1874.7593,13.3709,64.6
1514.4792,-1870.5453,13.3693,55.7
1504.2296,-1870.2188,13.3753,64.3
1492.5115,-1870.7819,13.3756,71.9
1479.9948,-1871.3365,13.3751,76.6
1466.5853,-1871.6440,13.3749,81.2
1452.0863,-1871.4241,13.3748,85.7
1437.3119,-1870.9579,13.3750,89.9
1422.3473,-1871.3037,13.3745,90.9
1407.0162,-1871.4227,13.3748,92.5
1391.6085,-1871.3856,13.3729,88.5
1376.7948,-1870.1648,13.3746,90.2
1361.7866,-1866.4432,13.3747,93.7
1347.3467,-1860.5281,13.3730,91.2
1332.2988,-1854.5913,13.3737,89.9
1317.6318,-1852.9731,13.3726,82.5
1303.6292,-1852.8793,13.3735,81.9
1289.4926,-1852.7477,13.3750,86.4
1274.6184,-1852.6130,13.3751,90.7
1259.0663,-1852.4690,13.3749,94.4
1251.0330,-1852.3954,13.3748,95.9
1242.8921,-1852.3204,13.3748,97.3
1234.7454,-1852.2457,13.3743,95.6
1226.7158,-1852.1716,13.3739,96.4
1218.4681,-1852.1754,13.3745,95.7
1202.4044,-1852.2668,13.3760,96.7
1194.2339,-1852.3112,13.3854,98.1
1185.9630,-1852.3556,13.3909,97.3
1170.1952,-1852.4426,13.3880,88.9
1155.6544,-1852.5222,13.3815,87.5
1140.8521,-1852.6038,13.3737,86.2
1126.2734,-1852.6833,13.3744,87.5
1111.8939,-1852.7623,13.3726,82.9
1098.3098,-1851.9041,13.3721,79.2
1086.5532,-1846.4592,13.4212,73.0
1076.7693,-1838.7524,13.5554,71.2
1066.4670,-1831.6974,13.6179,75.8
1055.6006,-1824.0188,13.6237,78.9
1044.5610,-1815.4333,13.6014,81.4
1033.4319,-1806.9299,13.7584,84.8
1020.9667,-1799.3322,13.9001,88.0
1007.4760,-1792.6340,14.0064,91.0
992.6399,-1787.8983,14.0626,94.4
977.3892,-1783.8843,14.0850,93.3
969.0171,-1782.2209,14.0976,95.0
953.4252,-1779.2076,14.0609,95.5
945.4731,-1777.6561,13.8436,97.4
937.3323,-1776.0714,13.6342,99.3
929.1455,-1774.4814,13.4226,100.3
920.7703,-1773.0189,13.3642,101.4
912.4319,-1772.4054,13.3730,97.7
904.2591,-1771.9747,13.3737,98.2
895.9767,-1771.5227,13.3747,99.6
887.6730,-1771.0492,13.3742,99.4
879.2880,-1770.6752,13.3746,100.7
863.0134,-1770.3462,13.3742,100.3
854.5347,-1770.1742,13.3747,100.7
846.2039,-1769.9819,13.3761,97.7
830.2252,-1769.3373,13.3844,96.3
821.9830,-1768.9965,13.3889,97.7
806.3349,-1768.3494,13.4035,95.8
798.2999,-1767.9989,13.4167,94.4
782.3798,-1767.3494,13.0727,95.7
774.3932,-1766.5688,12.9079,94.5
758.4585,-1764.4620,12.8249,97.3
750.2501,-1763.3676,12.8211,97.7
742.4545,-1761.5298,13.3204,93.3
727.4481,-1757.4338,14.4680,92.7
712.5644,-1753.4231,14.4301,90.5
697.9676,-1749.3998,13.5154,86.0
683.9058,-1745.4631,13.3038,82.7
670.4527,-1741.7581,13.4384,80.4
657.7916,-1738.2988,13.4708,78.1
646.1317,-1733.5133,13.5217,70.8
637.8241,-1725.4773,13.9316,66.5
633.7253,-1714.7794,14.1315,70.3
631.7346,-1703.0145,14.7205,66.5
629.7708,-1692.6991,15.2096,61.1
625.0911,-1684.1367,15.5013,58.3
617.6504,-1678.5692,16.0066,54.6
608.3518,-1675.9833,15.9563,59.0
597.9694,-1674.6537,16.0012,66.3
586.2944,-1673.1343,16.5079,72.1
574.1921,-1671.6364,17.4717,73.7
562.1163,-1670.6272,18.1435,71.2
551.6942,-1666.9331,18.5142,62.2
545.2613,-1659.3420,18.6034,56.5
541.1912,-1651.2505,18.1269,52.6
537.7337,-1643.5238,17.6382,47.6
534.8329,-1635.8105,17.1659,52.9
531.3517,-1626.5961,16.7143,63.1
527.5212,-1615.6100,16.3140,72.1
523.9034,-1603.4312,16.0760,77.8
518.8904,-1591.1033,15.9679,80.7
512.8389,-1578.5688,15.9557,85.0
506.0267,-1565.8164,16.3270,87.8
498.6153,-1552.9166,17.3266,89.5
491.6962,-1539.5049,18.7377,89.7
486.4057,-1525.2426,19.8811,90.2
485.1326,-1517.3420,20.2524,90.9
484.8265,-1501.9340,20.3813,86.8
486.6500,-1487.6597,19.9242,84.2
489.3612,-1474.8070,19.1033,70.9
493.3138,-1464.1904,18.0366,58.2
498.4887,-1455.5919,16.8365,62.5
505.7772,-1448.4447,15.0704,56.2
514.2147,-1448.2418,14.9474,51.0
520.7169,-1454.3608,15.1583,56.6
526.8938,-1462.3835,14.8583,63.0
530.7770,-1472.5128,14.6248,68.3
532.8120,-1484.3976,14.3653,74.6
533.7929,-1497.2676,14.3085,79.2
534.1678,-1510.9259,14.3847,83.5
534.5858,-1525.3068,14.5036,87.6
535.0135,-1540.2648,14.9913,90.6
535.0953,-1555.5923,15.4813,89.4
534.9909,-1570.4313,15.9007,89.9
534.8975,-1585.8361,16.0015,93.7
534.7927,-1601.7484,15.9993,93.4
534.6935,-1617.0518,16.3638,91.4
534.5962,-1631.9006,16.9337,84.0
534.9221,-1645.5217,17.7543,76.3
539.5215,-1656.2103,18.4513,65.6
547.2153,-1663.8622,18.5226,67.8
557.3817,-1669.8140,18.3437,71.6
569.5229,-1672.1819,17.8265,76.8
582.8813,-1674.1946,16.7264,84.4
596.5493,-1675.9258,16.0539,79.0
607.4861,-1681.2916,15.9757,68.6
613.4707,-1691.4286,15.9661,72.2
619.9052,-1701.8795,15.1156,76.5
626.4607,-1713.4369,14.1725,82.0
634.2932,-1724.9242,13.9193,82.7
643.0461,-1735.7501,13.3748,85.8
654.0491,-1745.2330,13.5086,88.6
666.5745,-1753.5610,13.4510,90.8
680.7258,-1760.1486,13.3057,94.6
688.2133,-1762.9722,13.2370,95.9
695.9601,-1765.0503,13.5543,96.2
703.8323,-1766.9353,13.9193,96.7
711.5884,-1769.2361,14.1045,97.3
719.3829,-1771.8616,14.0103,98.8
727.2137,-1774.3630,13.9591,96.8
735.1312,-1776.4363,13.4358,98.7
743.2654,-1778.4261,12.9228,101.2
751.6706,-1779.7943,12.7953,102.3
760.1391,-1780.7184,12.8334,99.8
768.2619,-1781.6172,12.8711,95.4
784.1171,-1783.2250,13.0834,95.8
792.1526,-1783.3473,13.1831,94.9
807.8091,-1783.4817,13.4480,94.1
823.2117,-1783.5771,13.6851,89.8
837.5537,-1783.7589,13.7378,81.5
850.6412,-1783.8748,13.7698,77.1
863.9401,-1784.4989,13.7099,81.6
877.7106,-1785.8870,13.6032,84.3
892.1962,-1787.3107,13.4912,89.0
907.4659,-1788.7749,13.3760,93.5
923.3242,-1790.3151,13.3716,96.4
939.0787,-1792.1638,13.7224,94.8
954.3994,-1795.2917,14.1121,89.3
969.1151,-1798.4280,14.0910,91.2
984.2950,-1801.8770,14.0659,94.2
999.5132,-1805.9749,14.0402,93.8
1007.2018,-1808.6492,14.0378,95.0
1021.8568,-1814.6025,13.9129,94.9
1035.0930,-1822.7192,13.6456,89.1
1046.4785,-1831.3414,13.5199,81.3
1055.7566,-1840.6321,13.5370,75.2
1065.2235,-1847.9591,13.3965,68.2
1075.3754,-1850.8883,13.3749,59.1
1086.0173,-1851.4174,13.3762,67.6
1097.8827,-1852.0894,13.3748,72.9
1110.5109,-1852.7791,13.3750,77.6
1123.9053,-1853.5170,13.3750,82.2
1138.0508,-1853.9908,13.3748,86.5
1152.9492,-1853.7461,13.3794,90.8
1168.5374,-1853.4885,13.3910,94.5
1184.6511,-1853.6643,13.3903,97.3
1192.8660,-1853.8204,13.3879,98.7
1201.2045,-1853.8234,13.3776,100.1
1209.6583,-1853.7949,13.3743,101.4
1218.2396,-1853.5989,13.3747,102.7
1226.9060,-1853.2439,13.3746,103.9
1235.6958,-1853.1549,13.3745,105.2
1244.5725,-1853.1243,13.3748,106.5
1253.5688,-1853.0831,13.3748,107.7
1262.6674,-1853.0112,13.3748,108.9
1271.8645,-1852.9366,13.3748,110.1
1280.9873,-1852.8655,13.3734,106.0
1289.9202,-1852.7965,13.3725,101.6
1298.3693,-1852.7301,13.3724,97.6
1306.6486,-1852.9169,13.3738,98.9
1314.9973,-1853.3334,13.3746,100.3
1323.5002,-1853.9575,13.3747,101.3
1331.6881,-1855.7986,13.3723,98.3
1339.2102,-1858.8077,13.3718,94.8
1353.6450,-1865.0072,13.3744,94.7
1368.9897,-1869.4084,13.3729,96.3
1377.0741,-1870.4429,13.3743,97.4
1385.2960,-1870.7571,13.3743,98.8
1393.6570,-1870.9772,13.3747,100.2
1402.1044,-1871.2122,13.3748,101.5
1410.9583,-1871.4655,13.3748,102.9
1419.6476,-1871.7101,13.3748,104.2
1428.4465,-1871.8766,13.3748,105.4
1437.1411,-1871.8002,13.3735,101.7
1445.4834,-1871.6991,13.3725,97.4
1461.1031,-1871.5751,13.3724,89.0
1475.3418,-1871.6012,13.3724,81.7
1489.1980,-1871.6232,13.3735,80.4
1501.9949,-1871.6451,13.3724,72.6
1513.5033,-1872.0718,13.3722,64.3
1521.9261,-1876.5273,13.3687,51.6
1526.3491,-1884.2338,13.4880,56.9
1529.4274,-1893.3640,13.8005,58.3
1530.1597,-1903.7227,14.2077,65.1
1530.1088,-1915.1736,14.9124,71.1
1530.0657,-1927.1244,16.2533,71.7
1530.0217,-1939.0646,17.7853,71.6
1529.9778,-1950.9438,19.3674,71.3
1529.9338,-1962.7527,20.9466,70.9
1529.8899,-1974.6040,22.3112,71.3
1529.8459,-1986.4935,23.7815,71.3
1529.8020,-1998.2598,25.4760,70.5
1529.7577,-2010.0104,27.1580,69.8
1529.7732,-2021.7682,28.6833,69.2
1530.9772,-2033.2147,30.0883,69.1
1533.4867,-2044.3920,31.2668,69.0
1537.4216,-2055.2129,32.3656,69.5
1541.6151,-2066.2693,33.1770,71.7
1545.9541,-2077.7166,33.7422,74.6
1550.8729,-2089.5178,34.0442,77.1
1557.7487,-2100.7542,33.7403,79.1
1565.3831,-2112.2512,33.1040,84.5
1575.1589,-2123.3081,32.0363,91.0
1587.0100,-2133.1587,30.4703,90.8
1599.3096,-2141.7917,28.6873,91.7
1612.8823,-2148.9702,26.7175,92.3
1627.3873,-2155.2466,24.5762,94.9
1642.3738,-2160.4551,22.4159,98.5
1650.4628,-2162.3958,21.3404,100.3
1658.6102,-2164.1501,20.2781,101.6
1667.0957,-2165.6587,19.2292,104.9
1675.7330,-2166.5464,18.2597,103.1
1684.4246,-2166.9431,17.3055,105.4
1693.1575,-2166.8987,16.4335,103.2
1701.9203,-2166.8445,15.5618,105.9
1710.7043,-2166.8076,14.8941,105.7
1719.6609,-2166.7698,14.2555,108.4
1728.8370,-2166.7258,13.8109,109.8
1737.9318,-2166.6819,13.5306,108.3
1747.0817,-2166.6375,13.3495,109.8
1756.3484,-2166.5979,13.3737,110.9
1765.6031,-2166.6106,13.3741,108.6
1774.6880,-2166.6326,13.3737,108.9
1783.6741,-2166.6545,13.3735,105.1
1792.3802,-2166.7366,13.3730,103.9
1800.9802,-2166.9675,13.3734,100.5
1809.3217,-2167.1860,13.3733,100.0
1817.7700,-2167.3730,13.3746,101.4
1826.1019,-2167.5522,13.3733,97.1
1834.2335,-2167.6758,13.3735,97.2
1842.3732,-2167.6636,13.3741,95.5
1858.0149,-2167.6150,13.3742,93.8
1873.5413,-2167.5757,13.3745,93.7
1889.2423,-2167.5317,13.3732,90.7
1903.5759,-2165.5393,13.3721,82.7
1916.6042,-2162.3040,13.3833,80.0
1928.3356,-2156.3889,13.5357,77.3
1939.0199,-2148.3394,13.5508,81.7
1947.9851,-2138.3210,13.5443,80.7
1956.0396,-2127.2471,13.5261,78.6
1963.9089,-2117.6243,13.3723,69.0
1973.8566,-2112.9404,13.3624,66.7
1985.4797,-2111.1689,13.3487,72.7
1998.0846,-2110.6960,13.3693,77.4
2011.1663,-2111.0090,13.3927,76.3
2023.9301,-2111.3906,13.3614,73.1
2036.5927,-2111.0620,13.3583,77.9
2049.4248,-2110.8660,13.3744,77.4
2062.1130,-2110.7605,13.3563,72.8
2074.2944,-2110.7290,13.3555,69.7
2085.3628,-2110.6584,13.3392,64.4
2095.9587,-2108.7830,13.3110,61.5
2104.7988,-2104.0432,13.4034,57.2
2111.8711,-2097.5608,13.5376,57.6
2118.5933,-2090.9983,13.5365,52.5
2124.2114,-2084.3953,13.5376,49.9
