X,Y,Z,Speed_kmh
1356.8472,-1307.4867,13.3209,115.6
1356.8401,-1297.8337,13.2408,116.8
1356.8651,-1287.5717,13.2332,117.9
1356.8792,-1277.1431,13.3409,118.7
1356.8298,-1266.8356,13.3804,119.6
1356.8000,-1256.6343,13.3750,120.6
1356.8145,-1245.9546,13.3764,121.6
1356.8247,-1236.3977,13.3808,122.4
1356.8197,-1225.7119,13.9214,120.8
1356.8217,-1215.8881,15.8170,117.9
1356.8319,-1206.2828,17.5874,115.1
1356.8365,-1196.9705,19.3356,112.3
1356.8195,-1187.8298,21.0106,109.7
1356.8125,-1178.4807,22.6931,107.0
1356.8268,-1169.2438,24.0818,104.5
1356.8417,-1160.6367,23.8207,104.0
1356.8728,-1151.5771,23.6401,103.7
1357.0878,-1142.8429,23.6568,104.9
1357.7186,-1133.5791,23.6515,106.2
1358.4878,-1124.7177,23.6698,107.3
1359.7405,-1115.3185,23.7103,108.5
1360.9865,-1106.3223,23.8098,109.5
1362.2974,-1096.7531,23.9790,110.2
1363.5321,-1087.6752,24.4342,110.4
1364.7435,-1078.5664,25.0934,110.0
1365.9861,-1069.0952,26.0021,109.2
1367.1801,-1059.8033,26.6415,108.9
1368.1287,-1050.5431,26.5758,108.6
1368.8534,-1041.4637,26.2237,109.9
1369.5358,-1032.3149,26.1578,110.8
1370.2704,-1023.0998,26.5610,110.8
1371.0630,-1013.3920,26.7246,111.3
1371.7888,-1004.2740,27.5280,110.5
1372.6245,-995.1901,28.7579,103.2
1374.9413,-980.0422,31.5942,87.5
1376.9197,-966.5797,33.6014,73.1
1375.3573,-954.7789,34.1699,68.2
1368.6493,-945.7137,34.1758,67.3
1358.8206,-938.9775,34.1793,71.7
1347.2201,-934.4434,34.8744,73.5
1334.8982,-931.5194,35.9357,74.8
1322.5835,-930.4556,37.2722,74.7
1309.8282,-929.8712,38.6111,75.3
1297.3527,-929.5092,39.9913,75.6
1284.9144,-929.5239,41.5018,75.7
1271.8688,-930.0844,42.1858,77.3
1258.4430,-931.0345,42.5800,80.6
1244.3280,-933.0060,42.5342,85.3
1229.0945,-935.1502,42.5425,89.8
1214.0103,-938.0063,42.6812,93.5
1198.4358,-940.9905,42.7390,96.3
1190.1085,-942.4511,42.7483,97.7
1181.9098,-943.7982,42.7571,99.1
1173.3147,-945.2097,42.7836,100.4
1164.9852,-946.1757,42.9775,101.0
1156.2878,-946.8668,42.9275,102.4
1147.3956,-947.6464,42.7118,104.1
1138.3245,-948.3899,42.5989,105.6
1129.5327,-949.0133,42.5970,106.9
1120.0892,-949.6608,42.6055,108.2
1110.9557,-950.3105,42.6138,109.3
1101.3851,-951.0128,42.6005,110.6
1092.0728,-951.6774,42.5941,111.8
1082.1954,-952.3605,42.5829,113.0
1072.2782,-953.0510,42.5997,114.1
1062.5393,-953.7914,42.6775,109.1
1053.6875,-954.5242,42.6717,104.6
1044.7612,-955.5830,42.6149,100.2
1036.6448,-956.6265,42.5161,97.5
1028.0676,-957.7473,42.3683,99.3
1019.7940,-958.8101,42.2239,98.2
1011.4014,-959.8826,41.8242,94.8
1003.2234,-960.9304,41.3873,91.6
987.5554,-962.9716,40.0432,94.9
979.5861,-964.0771,39.5666,91.6
964.3586,-964.8175,39.0258,86.8
949.7476,-965.0758,38.6774,79.3
936.7965,-965.3687,38.3473,72.0
924.9720,-965.4748,38.2158,64.8
914.4903,-965.7696,38.2149,60.5
904.7348,-966.3922,38.0341,54.1
895.8262,-967.6410,37.4105,48.1
885.8707,-973.9551,36.9173,51.8
878.8492,-979.1757,36.3331,48.3
875.3504,-989.4206,35.3808,39.8
881.3229,-995.9495,35.5089,36.4
891.0386,-993.6575,36.5322,45.1
898.2736,-989.2833,37.1976,53.1
906.9898,-985.1465,37.6413,59.6
917.1450,-981.9340,38.0697,65.8
928.7194,-979.1260,38.2127,72.5
941.3440,-976.4417,38.4118,76.6
954.6775,-974.0657,38.7443,80.4
968.5750,-971.6153,39.1349,83.8
982.9343,-969.0557,39.6220,87.0
997.3694,-966.4672,40.9738,87.6
1012.5733,-963.9559,41.8478,89.7
1028.1080,-961.9223,42.3649,92.7
1036.2990,-960.8431,42.4969,94.1
1052.1635,-958.7531,42.5868,96.7
1060.4108,-957.6683,42.5858,98.2
1069.0355,-956.5334,42.5858,99.6
1077.3647,-955.5271,42.5756,100.9
1086.3109,-954.8326,42.4665,102.5
1095.3945,-954.1507,42.4723,103.9
1104.5031,-953.3860,42.5277,105.1
1113.4093,-952.6432,42.5934,106.2
1122.7327,-951.9216,42.5881,107.5
1132.1516,-951.1219,42.5849,108.7
1141.5179,-950.1794,42.6076,109.9
1150.8215,-949.2170,42.7700,110.7
1159.9740,-947.9559,43.0195,111.2
1169.4672,-946.2822,42.8699,112.6
1178.9663,-944.5104,42.7425,113.8
1188.3507,-942.7021,42.7505,114.9
1198.3441,-940.8498,42.7386,116.1
1207.9165,-939.0958,42.7268,117.1
1218.0518,-937.2177,42.6469,118.3
1227.8990,-935.3856,42.5570,119.5
1238.2164,-933.6521,42.4940,120.6
1248.7323,-932.0401,42.5536,121.5
1258.7466,-930.8660,42.5879,118.5
1268.9709,-930.8568,42.2795,115.0
1278.8883,-931.2838,41.9319,111.1
1288.0963,-931.6489,41.2381,109.2
1297.0614,-931.8669,40.0603,108.0
1306.3157,-932.1072,39.0018,105.9
1315.0907,-932.3993,38.0563,103.8
1323.6421,-932.6621,37.1178,90.4
1338.5503,-933.0547,35.6160,85.6
1352.4032,-935.2579,34.4156,81.3
1363.0854,-942.0184,34.1725,71.6
